Template A,Attribute A,Template B,Attribute B,Property A,Property B,Annotation,Notes (in case of confusion),Class A,Class B,Domain Property A, Domain Property B, Range Property A, Range Property B,C1,C2,C3a,C3b,M1,M2,M3,M4a,M4b,M5a,M5b,TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8,TB9,TB10,TB11
Infobox_musical_artist,years_active,Infobox_band,jaren_actief,dbo:activeYearsEndYear,dbo:activeYearsStartYear,Wrong - should be the same,,,dbo:Band,,,xsd:gYear,xsd:gYear,0.2232,0.7731,0.7157,0.6571,802,179,620,574,527,802,802,0,0,0,0,0,0,0,0,1,0,0
Infobox_scientist,birth_date,Infobox_Nobelprijswinnaar,periode,dbo:birthDate,dbo:deathDate,Wrong - should be the same,,dbo:Scientist,,dbo:Person,dbo:Person,xsd:date,xsd:date,0.3185,0.6815,0.6574,0.6704,540,172,368,355,362,540,540,0,0,0,0,0,1,0,0,1,0,0
Taxobox,synonyms,Taxobox_vogel,w-naam,dbo:synonym,dbo:scientificName,Correct as it is now,,,dbo:Bird,,dbo:Species,xsd:string,xsd:string,0.0599,0.9563,0,0,2722,163,2603,0,0,2722,2722,0,0,0,0,0,0,0,0,1,0,0
Infobox_person,yearsactive,Infobox_acteur,jaren-actief,dbo:activeYearsStartYear,dbo:activeYearsEndYear,Wrong - should be the same,,dbo:Person,dbo:Actor,,,xsd:gYear,xsd:gYear,0.1103,0.2474,0.4721,0.6023,1451,160,359,685,874,1451,1451,0,0,0,0,1,0,0,0,1,0,0
Infobox_language,iso2,Infobox_taal,639-3,dbo:iso6392Code,dbo:iso6393Code,Correct as it is now,,dbo:Language,dbo:Language,dbo:Language,dbo:Language,xsd:string,xsd:string,0.8765,0.1412,0.0235,0.1353,170,149,24,4,23,170,170,0,0,1,0,0,1,0,0,1,0,0
Infobox_language,iso3,Infobox_taal,639-2,dbo:iso6393Code,dbo:iso6392Code,Correct as it is now,,dbo:Language,dbo:Language,dbo:Language,dbo:Language,xsd:string,xsd:string,0.5149,0.4888,0.0149,0.5112,268,138,131,4,137,268,268,0,0,1,0,0,1,0,0,1,0,0
Infobox_song,Length,Infobox_nummer,Duur,dbo:runtime,dbo:playingTime,Correct as it is now,,dbo:Song,dbo:Song,dbo:Work,,xsd:double,xsd:double,0.8024,0.2934,0,0,167,134,49,0,0,167,167,0,0,1,0,0,0,0,0,1,0,0
Infobox_automobile,production,Infobox_autotype,jaren,dbo:productionEndYear,dbo:modelStartYear,Correct as it is now,,dbo:Automobile,dbo:Automobile,,dbo:MeanOfTransportation,xsd:gYear,xsd:gYear,0.2174,0.7826,0.0886,0,598,130,468,53,0,598,598,0,0,1,0,0,0,0,0,1,0,0
Infobox_lake,max-depth,Infobox_meer,gemdiepte,dbo:maximumDepth,dbo:depth,Correct as it is now,,dbo:Lake,dbo:Lake,dbo:Place,dbo:Place,xsd:double,xsd:double,0.3567,0.5366,0,0,328,117,176,0,0,328,328,1,0,1,0,0,1,0,0,1,0,0
Infobox_person,yearsactive,Infobox_acteur,overleden,dbo:activeYearsEndYear,dbo:deathYear,Correct as it is now,,dbo:Person,dbo:Actor,,dbo:Person,xsd:gYear,xsd:gYear,0.095,0.2367,0.6483,0.3742,1200,114,284,778,449,1200,1200,0,0,0,0,1,0,0,0,1,0,0
Infobox_person,yearsactive,Infobox_acteur,jaren-actief,dbo:activeYearsEndYear,dbo:activeYearsStartYear,Wrong - should be the same,,dbo:Person,dbo:Actor,,,xsd:gYear,xsd:gYear,0.0943,0.2838,0.6483,0.6771,1177,111,334,763,797,1177,1177,0,0,0,0,1,0,0,0,1,0,0
Infobox_musical_artist,years_active,Infobox_artiest,jaren-actief,dbo:activeYearsEndYear,dbo:activeYearsStartYear,Wrong - should be the same,,,dbo:MusicalArtist,,,xsd:gYear,xsd:gYear,0.2132,0.7791,0.6725,0.6725,516,110,402,347,347,516,516,0,0,0,0,0,0,0,0,1,0,0
Infobox_lake,depth,Infobox_meer,gemdiepte,dbo:averageDepth,dbo:depth,Wrong - should be the same,,dbo:Lake,dbo:Lake,dbo:Place,dbo:Place,xsd:double,xsd:double,0.5312,0.7917,0,0,192,102,152,0,0,192,192,1,0,1,0,0,1,0,0,1,0,0
Infobox_lake,depth,Infobox_meer,maxdiepte,dbo:averageDepth,dbo:depth,Correct as it is now,,dbo:Lake,dbo:Lake,dbo:Place,dbo:Place,xsd:double,xsd:double,0.526,0.8958,0,0,192,101,172,0,0,192,192,1,0,1,0,0,1,0,0,1,0,0
Infobox_London_station,fare_zone,Infobox_metrostation_Londen,perrons,dbo:fareZone,dbo:railwayPlatforms,Correct as it is now,,,dbo:MetroStation,dbo:Station,dbo:Station,xsd:string,xsd:string,0.2617,0.7383,0.7631,0.7796,363,95,268,277,283,363,363,0,0,0,0,0,1,0,0,1,0,0
Infobox_professional_wrestler,birth_date,Infobox_professioneel_worstelaar,overlijdensdatum,dbo:birthDate,dbo:deathDate,Correct as it is now,,dbo:Wrestler,dbo:Wrestler,dbo:Person,dbo:Person,xsd:date,xsd:date,0.1739,0.2029,0.2029,0,483,84,98,98,0,483,483,0,0,1,0,0,1,0,0,1,0,0
Infobox_military_conflict,date,Infobox_militair_conflict,date,dbo:date,dbo:startDate,Wrong - should be the same,,dbo:MilitaryConflict,dbo:MilitaryConflict,,dbo:Event,xsd:date,xsd:date,0.8137,0.2647,0,0,102,83,27,0,0,102,102,0,0,1,0,0,0,0,0,1,0,0
Infobox_airport,FAA,Infobox_luchthaven,IATA,dbo:faaLocationIdentifier,dbo:iataLocationIdentifier,Correct as it is now,,dbo:Airport,dbo:Airport,dbo:Airport,dbo:Infrastructure,xsd:string,xsd:string,0.974,0.1039,0.0909,0,77,75,8,7,0,77,77,0,0,1,0,0,0,1,0,1,0,0
Infobox_London_station,platforms,Infobox_metrostation_Londen,zone,dbo:railwayPlatforms,dbo:fareZone,Correct as it is now,,,dbo:MetroStation,dbo:Station,dbo:Station,xsd:string,xsd:string,0.1989,0.8011,0.7597,0.7873,362,72,290,275,285,362,362,0,0,0,0,0,1,0,0,1,0,0
Infobox_settlement,iso_code,Infobox_provincie_Thailand,isocode,dbo:isoCodeRegion,dbo:isoCode,Wrong - should be the same,,,dbo:Province,dbo:Settlement,dbo:Place,xsd:string,xsd:string,1,0,0,0,69,69,0,0,0,69,69,0,0,0,0,0,0,1,0,1,0,0
Infobox_automobile,production,Infobox_autotype,jaren,dbo:productionStartYear,dbo:modelEndYear,Correct as it is now,,dbo:Automobile,dbo:Automobile,,dbo:MeanOfTransportation,xsd:gYear,xsd:gYear,0.1039,0.8961,0.0677,0,635,66,569,43,0,635,635,0,0,1,0,0,0,0,0,1,0,0
Infobox_cycling_team,code,Infobox_wielerploeg,code,dbo:uciCode,dbo:code,Wrong - should be the same,,dbo:CyclingTeam,dbo:CyclingTeam,dbo:CyclingTeam,,xsd:string,xsd:string,0.8228,0.1772,0,0,79,65,14,0,0,79,79,0,0,1,0,0,0,0,0,1,0,0
Infobox_company,foundation,Infobox_bedrijfsonderdeel,oprichting,dbo:foundingYear,dbo:formationYear,Wrong - should be the same,,,dbo:Company,,dbo:Organisation,xsd:gYear,xsd:gYear,0.7273,0.3409,0,0,88,64,30,0,0,88,88,0,0,0,0,0,0,0,0,1,0,0
