Template A,Attribute A,Template B,Attribute B,Property A,Property B,Annotation,Notes (in case of confusion),Class A,Class B,Domain Property A, Domain Property B, Range Property A, Range Property B,C1,C2,C3a,C3b,M1,M2,M3,M4a,M4b,M5a,M5b,TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8,TB9,TB10,TB11
Infobox_football_biography,clubs4,Infobox_voetballer,interlandteam,dbo:team,dbo:nationalTeam,,,,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.5133,0.6631,0,0,1876,963,1244,0,0,1876,1876,0,0,0,0,0,0,0,0,1,0,0
Infobox_album,Artist,Infobox_muziekalbum,producer,dbo:artist,dbo:producer,,,dbo:Album,dbo:Album,dbo:MusicalWork,dbo:Work,dbo:Agent,dbo:Agent,0.5328,0.5857,0.688,0.5706,1798,958,1053,1237,1026,1798,1798,0,0,1,0,0,0,1,0,1,0,0
Infobox_settlement,subdivision_name2,Infobox_plaats_in_Madagaskar,regio,dbo:isPartOf,dbo:locatedInArea,,,,,,dbo:Place,,dbo:Place,0.9452,0.9492,0,0,1004,949,953,0,0,1004,1004,0,0,0,0,0,0,0,0,0,0,0
Infobox_football_biography,clubs2,Infobox_voetballer,getraindeclubs,dbo:team,dbo:formerTeam,,,,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.7041,0.8743,0,0,1345,947,1176,0,0,1345,1345,0,0,0,0,0,0,0,0,1,0,0
Infobox_single,Producer,Infobox_single,Producer,dbo:producer,dbo:productionCompany,,,dbo:Single,dbo:Single,dbo:Work,dbo:Work,dbo:Agent,dbo:Company,0.8848,0.5562,0,0,1059,937,589,0,0,1059,1059,0,0,1,0,0,1,0,0,0,0,1
Infobox_football_biography,managerclubs2,Infobox_voetballer,getraindeclubs,dbo:managerClub,dbo:formerTeam,,,,dbo:SoccerPlayer,dbo:Athlete,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.7409,0.744,0,0,1258,932,936,0,0,1258,1258,0,0,0,0,0,1,0,0,1,0,0
Infobox_football_club,position,Infobox_voetbalclub,competitie,dbo:position,dbo:league,,,dbo:SoccerClub,dbo:SoccerClub,,,,dbo:SportsLeague,0.6223,0.411,0.3519,0,1472,916,605,518,0,1472,1472,0,0,1,0,0,0,0,0,0,0,0
Infobox_mountain,location,Infobox_berg,ligging,dbo:locatedInArea,dbo:position,,,,dbo:Mountain,dbo:Place,,dbo:Place,,0.8727,0.933,0,0,1045,912,975,0,0,1045,1045,0,0,0,0,0,0,0,0,0,0,0
Infobox_football_biography,clubs10,Infobox_voetballer,club,dbo:team,dbo:club,,,,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.1097,0.1097,0,0,8230,903,903,0,0,8230,8230,0,0,0,0,0,0,0,0,1,0,0
Infobox_settlement,subdivision_name1,Infobox_plaats_in_Brazilië,subarea,dbo:isPartOf,dbo:subregion,,,,,,dbo:Place,,dbo:Place,0.9222,0.7581,0,0,951,877,721,0,0,951,951,0,0,0,0,0,0,0,0,0,0,0
Infobox_settlement,subdivision_name1,Infobox_miasto_Polen,provincie,dbo:isPartOf,dbo:province,,,,dbo:PopulatedPlace,,dbo:Place,,dbo:Province,0.9966,0.9341,0,0,880,877,822,0,0,880,880,0,0,0,0,0,0,0,0,0,0,0
Infobox_football_biography,clubs1,Infobox_voetballer,interlandteam,dbo:team,dbo:nationalTeam,,,,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.459,0.5842,0,0,1876,861,1096,0,0,1876,1876,0,0,0,0,0,0,0,0,1,0,0
Taxobox,ordo,Taxobox_vogel,familie,dbo:order,dbo:family,,,,dbo:Bird,dbo:Species,dbo:Species,,dbo:Species,0.0773,0.9234,0.9272,0.9254,11133,861,10280,10323,10302,11133,11133,0,0,0,0,0,1,0,0,0,0,0
Infobox_football_biography,nationalteam3,Infobox_voetballer,jeugdteams,dbo:team,dbo:youthClub,,,,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.2384,0.2456,0,0,3591,856,882,0,0,3591,3591,0,0,0,0,0,0,0,0,1,0,0
Infobox_football_biography,nationalteam1,Infobox_voetballer,getraindeclubs,dbo:team,dbo:formerTeam,,,,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.6149,0.7554,0,0,1345,827,1016,0,0,1345,1345,0,0,0,0,0,0,0,0,1,0,0
Infobox_settlement,subdivision_name2,Infobox_miasto_Polen,provincie,dbo:isPartOf,dbo:province,,,,dbo:PopulatedPlace,,dbo:Place,,dbo:Province,0.9318,0.9341,0,0,880,820,822,0,0,880,880,0,0,0,0,0,0,0,0,0,0,0
Geobox,region,Infobox_plaats_in_Slowakije,subarea,dbo:region,dbo:federalState,,,,dbo:Settlement,,dbo:Settlement,dbo:Place,dbo:PopulatedPlace,0.9951,1,0,0,824,820,824,0,0,824,824,0,0,0,0,0,0,0,0,0,0,1
Geobox,region,Infobox_plaats_in_Slowakije,area,dbo:region,dbo:federalState,,,,dbo:Settlement,,dbo:Settlement,dbo:Place,dbo:PopulatedPlace,0.9951,1,0,0,824,820,824,0,0,824,824,0,0,0,0,0,0,0,0,0,0,1
Infobox_mountain,location,Infobox_berg,mapname,dbo:locatedInArea,dbo:map,,,,dbo:Mountain,dbo:Place,dbo:Place,dbo:Place,,0.8694,0.8546,0,0,942,819,805,0,0,942,942,0,0,0,0,0,1,0,0,0,0,0
Infobox_German_location,Town,Infobox_plaats_in_Duitsland,gemeente,dbo:city,dbo:municipality,,,,dbo:Settlement,,,dbo:City,dbo:PopulatedPlace,0.9844,0.0072,0,0,831,818,6,0,0,831,831,0,0,0,0,0,0,0,0,0,1,0
Infobox_settlement,subdivision_name2,Infobox_miasto_Polen,powiat,dbo:isPartOf,dbo:district,,,,dbo:PopulatedPlace,,dbo:Place,,dbo:PopulatedPlace,0.9939,0.9964,0,0,822,817,819,0,0,822,822,0,0,0,0,0,0,0,0,0,0,0
Infobox_settlement,subdivision_name1,Infobox_miasto_Polen,powiat,dbo:isPartOf,dbo:district,,,,dbo:PopulatedPlace,,dbo:Place,,dbo:PopulatedPlace,0.9927,0.9988,0,0,822,816,821,0,0,822,822,0,0,0,0,0,0,0,0,0,0,0
Infobox_football_biography,managerclubs3,Infobox_voetballer,getraindeclubs,dbo:managerClub,dbo:formerTeam,,,,dbo:SoccerPlayer,dbo:Athlete,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.6463,0.6494,0,0,1258,813,817,0,0,1258,1258,0,0,0,0,0,1,0,0,1,0,0
Infobox_football_biography,clubs5,Infobox_voetballer,interlandteam,dbo:team,dbo:nationalTeam,,,,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.4334,0.5485,0,0,1876,813,1029,0,0,1876,1876,0,0,0,0,0,0,0,0,1,0,0
Infobox_football_biography,clubs3,Infobox_voetballer,getraindeclubs,dbo:team,dbo:formerTeam,,,,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.6022,0.7442,0,0,1345,810,1001,0,0,1345,1345,0,0,0,0,0,0,0,0,1,0,0
Geobox,district,Infobox_plaats_in_Slowakije,subarea,dbo:district,dbo:federalState,,,,dbo:Settlement,dbo:Place,dbo:Settlement,dbo:PopulatedPlace,dbo:PopulatedPlace,0.9901,1,0,0,809,801,809,0,0,809,809,0,0,0,0,0,0,0,1,1,0,0
