Template A,Attribute A,Template B,Attribute B,Property A,Property B,Annotation,Notes (in case of confusion),Class A,Class B,Domain Property A, Domain Property B, Range Property A, Range Property B,C1,C2,C3a,C3b,M1,M2,M3,M4a,M4b,M5a,M5b,TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8,TB9,TB10,TB11
Infobox_political_party,dissolved,Κουτί_πληροφοριών_πολιτικού_κόμματος,διαλύθηκε,dbo:extinctionYear,dbo:closingYear,Wrong - should be the same,,dbo:PoliticalParty,dbo:PoliticalParty,dbo:Species,,xsd:gYear,xsd:gYear,0.4815,0.037,0,0,27,13,1,0,0,27,27,0,0,1,0,0,0,0,0,1,0,0
Infobox_airport,elevation-f,Αεροδρόμιο,υψόμετρο,dbo:elevation,dbo:height,Wrong - should be the same,,dbo:Airport,dbo:Building,dbo:Place,,xsd:double,xsd:double,0.65,0.95,0,0,20,13,19,0,0,20,20,0,0,0,0,0,0,0,0,1,0,0
Infobox_automobile,production,Πληροφορίες_αυτοκινήτου,model_years,dbo:productionEndYear,dbo:modelEndYear,,,dbo:Automobile,dbo:Automobile,,dbo:MeanOfTransportation,xsd:gYear,xsd:gYear,0.65,0.4,0.3,0,20,13,8,6,0,20,20,0,0,1,0,0,0,0,0,1,0,0
Infobox_musical_artist,years_active,Μουσικό_συγκρότημα,παρουσία,dbo:activeYearsStartYear,dbo:activeYearsEndYear,,,,dbo:Band,,,xsd:gYear,xsd:gYear,0.069,0.9253,0.6609,0.9195,174,12,161,115,160,174,174,0,0,0,0,0,0,0,0,1,0,0
Infobox_officeholder,death_date,Πληροφορίες_πολιτικού,λήξη,dbo:deathDate,dbo:activeYearsEndDate,,,dbo:OfficeHolder,dbo:Politician,dbo:Person,,xsd:date,xsd:date,0.2927,0.7561,0,0,41,12,31,0,0,41,41,0,0,0,0,0,0,0,0,1,0,0
Infobox_royalty,reign,Infobox_Royalty,περίοδος_εξουσίας2,dbo:activeYearsEndYear,dbo:activeYearsStartYear,,,dbo:Royalty,dbo:BritishRoyalty,,,xsd:gYear,xsd:gYear,0.0513,0.2051,0.7821,0.9274,234,12,48,183,217,234,234,0,0,0,0,1,0,0,0,1,0,0
Infobox_ship_career,Ship_laid_down,Πλοίο,έναρξη_ναυπήγησης,dbo:layingDown,dbo:orderDate,,,dbo:Ship,dbo:Ship,dbo:Ship,dbo:Ship,xsd:date,xsd:date,1,0,0.0833,0,12,12,0,1,0,12,12,0,0,1,0,0,1,0,0,1,0,0
Infobox_political_party,dissolution,Κουτί_πληροφοριών_πολιτικού_κόμματος,διαλύθηκε,dbo:extinctionYear,dbo:closingYear,Wrong - should be the same,,dbo:PoliticalParty,dbo:PoliticalParty,dbo:Species,,xsd:gYear,xsd:gYear,0.4444,0.037,0,0,27,12,1,0,0,27,27,0,0,1,0,0,0,0,0,1,0,0
Infobox_musical_artist,years_active,Πληροφορίες_μουσικού,παρουσία,dbo:activeYearsStartYear,dbo:activeYearsEndYear,,,,dbo:MusicalArtist,,,xsd:gYear,xsd:gYear,0.1136,0.8636,0.75,0.8864,88,10,76,66,78,88,88,0,0,0,0,0,0,0,0,1,0,0
Infobox_settlement,elevation_min_m,Πόλη,Υψόμετρο,dbo:minimumElevation,dbo:elevation,Correct as it is now,,,dbo:City,dbo:Place,dbo:Place,xsd:double,xsd:double,0.5,0.4,0.15,0,20,10,8,3,0,20,20,0,0,0,0,0,1,0,0,1,0,0
Infobox_district,area_total_km2,Περιφέρεια_(Μποτσουάνα),έκταση,dbo:areaTotal,dbo:area,Correct as it is now,,,dbo:AdministrativeRegion,dbo:Place,,xsd:double,xsd:double,1,0,0,0,9,9,0,0,0,9,9,0,0,0,0,0,0,0,0,1,0,0
Infobox_settlement,elevation_max_m,Νησί,υψόμετρο,dbo:maximumElevation,dbo:elevation,Correct as it is now,,,dbo:Island,dbo:Place,dbo:Place,xsd:double,xsd:double,0.6923,0.3077,0,0,13,9,4,0,0,13,13,0,0,0,0,0,1,0,0,1,0,0
Infobox_company,num_employees,Πληροφορίες_εταιρίας,αριθμός_υπαλλήλων,dbo:numberOfEmployees,dbo:numberOfStaff,Wrong - should be the same,,,dbo:Company,dbo:Organisation,dbo:Organisation,xsd:nonNegativeInteger,xsd:nonNegativeInteger,0.225,0.775,0,0,40,9,31,0,0,40,40,0,0,0,0,0,1,0,0,1,0,0
Geobox,source_elevation,Ποταμός,ύψος,dbo:sourceElevation,dbo:elevation,Correct as it is now,,,dbo:River,,dbo:Place,xsd:double,xsd:double,0.75,0.0833,0,0,12,9,1,0,0,12,12,0,0,0,0,0,0,0,0,1,0,0
Infobox_royalty,reign,Infobox_Royalty,περίοδος_εξουσίας2,dbo:activeYearsStartYear,dbo:activeYearsEndYear,,,dbo:Royalty,dbo:BritishRoyalty,,,xsd:gYear,xsd:gYear,0.0327,0.1273,0.6655,0.9091,275,9,35,183,250,275,275,0,0,0,0,1,0,0,0,1,0,0
Infobox_settlement,area_land_km2,Πόλη,Έκταση,dbo:areaLand,dbo:areaTotal,,,,dbo:City,dbo:Place,dbo:Place,xsd:double,xsd:double,0.1951,0.7317,0.7317,0,41,8,30,30,0,41,41,0,0,0,0,0,1,0,0,1,0,0
Infobox_settlement,area_urban_km2,Πόλη,Έκταση,dbo:areaUrban,dbo:areaTotal,,,,dbo:City,dbo:PopulatedPlace,dbo:Place,xsd:double,xsd:double,0.1538,0.8077,0.8269,0,52,8,42,43,0,52,52,0,0,0,0,0,0,1,0,1,0,0
Infobox_political_party,founded,Κουτί_πληροφοριών_πολιτικού_κόμματος,ίδρυση,dbo:formationDate,dbo:foundingDate,Wrong - should be the same,,dbo:PoliticalParty,dbo:PoliticalParty,dbo:Organisation,,xsd:date,xsd:date,0.1333,0.05,0,0,60,8,3,0,0,60,60,0,0,1,0,0,0,0,0,1,0,0
Infobox_settlement,postal_code,Αυτόνομη_Κοινότητα,κωδικός,dbo:postalCode,dbo:areaCode,,,,dbo:GovernmentType,,dbo:Place,xsd:string,xsd:string,0.7273,0.3636,0.2727,0,11,8,4,3,0,11,11,0,0,0,0,0,0,0,0,1,0,0
Infobox_book,release_date,Βιβλίο,πρώτη_έκδοση,dbo:releaseDate,dbo:publicationDate,,,dbo:Book,dbo:Book,,,xsd:date,xsd:date,1,0,0.125,0,8,8,0,1,0,8,8,0,0,1,0,0,0,0,0,1,0,0
Infobox_Greek_Dimos,elevation_min,Πόλη_(Ελλάδα),Υψόμετρο,dbo:minimumElevation,dbo:elevation,Correct as it is now,,dbo:AdministrativeRegion,dbo:City,dbo:Place,dbo:Place,xsd:double,xsd:double,0.2258,0.7742,0,0,31,7,24,0,0,31,31,0,0,0,0,0,1,0,0,1,0,0
Infobox_political_party,founded,Κουτί_πληροφοριών_πολιτικού_κόμματος,ιδρύθηκε,dbo:formationYear,dbo:foundingYear,Wrong - should be the same,,dbo:PoliticalParty,dbo:PoliticalParty,dbo:Organisation,,xsd:gYear,xsd:gYear,0.0312,0.0089,0,0,224,7,2,0,0,224,224,0,0,1,0,0,0,0,0,1,0,0
Infobox_automobile,model_years,Πληροφορίες_αυτοκινήτου,production,dbo:modelStartYear,dbo:productionStartYear,,,dbo:Automobile,dbo:Automobile,dbo:MeanOfTransportation,,xsd:gYear,xsd:gYear,0.1071,0.9464,0.8036,0.4643,56,6,53,45,26,56,56,0,0,1,0,0,0,0,0,1,0,0
