Template A,Attribute A,Template B,Attribute B,Property A,Property B,Annotation,Notes (in case of confusion),Class A,Class B,Domain Property A, Domain Property B, Range Property A, Range Property B,C1,C2,C3a,C3b,M1,M2,M3,M4a,M4b,M5a,M5b,TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8,TB9,TB10,TB11
Ficha_de_aerolínea,aeropuerto_principal,Infobox_Fluggesellschaft,Sitz,dbo:hubAirport,dbo:locationCity,,,dbo:Airline,dbo:Airline,dbo:Airline,dbo:Organisation,dbo:Airport,dbo:City,0.0139,0.9736,0,0.5306,720,10,701,0,382,720,720,,,,,,,,,,,
Ficha_de_aerolínea,aeropuerto_principal,Infobox_Fluggesellschaft,Sitz,dbo:hubAirport,dbo:locationCountry,,,dbo:Airline,dbo:Airline,dbo:Airline,,dbo:Airport,dbo:Country,0.0139,0.9736,0,0.5306,720,10,701,0,382,720,720,,,,,,,,,,,
Ficha_de_noble,padre,Folgenleiste,VORGÄNGER,dbo:parent,dbo:predecessor,,,dbo:Noble,,dbo:Person,,dbo:Person,,0.6064,0.7259,0,0,963,584,699,0,0,963,963,,,,,,,,,,,
Ficha_de_artista,nacionalidad,Personendaten,STERBEORT,dbo:nationality,dbo:deathPlace,,,dbo:Artist,dbo:Person,dbo:Person,dbo:Person,dbo:Country,dbo:Place,0.0473,0.9971,0.8436,0,697,33,695,588,0,697,697,,,,,,,,,,,
Ficha_de_artista_musical,Discográfica,Infobox_Band,Besetzung2b,dbo:recordLabel,dbo:bandMember,,,dbo:MusicalArtist,dbo:Band,,dbo:Band,dbo:RecordLabel,dbo:Person,0.0006,0.3918,0.4841,0,1766,1,692,855,0,1766,1766,,,,,,,,,,,
Ficha_de_artista_musical,estilo,Infobox_Band,Besetzung4b,dbo:genre,dbo:bandMember,,,dbo:MusicalArtist,dbo:Band,,dbo:Band,dbo:Genre,dbo:Person,0.0004,0.2709,0.4326,0.9711,2529,1,685,1094,2456,2529,2529,,,,,,,,,,,
Ficha_de_científico,país_de_residencia,Personendaten,GEBURTSORT,dbo:country,dbo:birthPlace,,,dbo:Scientist,dbo:Person,,dbo:Person,dbo:Country,dbo:Place,0.0648,0.8691,0.8069,0,787,51,684,635,0,787,787,,,,,,,,,,,
Ficha_de_isla,país,Infobox_Insel,GRUPPE,dbo:country,dbo:archipelago,,,dbo:Island,dbo:Island,,dbo:Island,dbo:Country,,0.023,0.9784,0.5704,0,696,16,681,397,0,696,696,,,,,,,,,,,
Ficha_de_película,fotografía,Infobox_Film,MUSIK,dbo:cinematography,dbo:musicComposer,,,dbo:Film,dbo:Film,dbo:Film,dbo:Work,dbo:Person,dbo:MusicalArtist,0.0138,0.9215,0.7328,0.9298,726,10,669,532,675,726,726,,,,,,,,,,,
Ficha_de_deportista,selección,Infobox_Basketballspieler,geburtsort,dbo:nationalTeam,dbo:birthPlace,,,dbo:Athlete,dbo:BasketballPlayer,dbo:Athlete,dbo:Person,dbo:SportsTeam,dbo:Place,0.111,0.9488,0.9829,0.8762,703,78,667,691,616,703,703,,,,,,,,,,,
Ficha_de_noble,lugar_de_defunción,Folgenleiste,NACHFOLGER,dbo:deathPlace,dbo:successor,,,dbo:Noble,,dbo:Person,,dbo:Place,,0.0015,0.9985,0,0.6979,662,1,661,0,462,662,662,,,,,,,,,,,
Ficha_de_noble,lugar_de_defunción,Folgenleiste,VORGÄNGER,dbo:deathPlace,dbo:predecessor,,,dbo:Noble,,dbo:Person,,dbo:Place,,0.0015,0.9985,0,0.7132,659,1,658,0,470,659,659,,,,,,,,,,,
Ficha_de_equipo_de_fútbol,temporada,Infobox_Fußballklub,liga,dbo:season,dbo:league,,,dbo:SoccerClub,dbo:SoccerClub,dbo:Agent,,,dbo:SportsLeague,0.0015,0.9985,0,0.3845,658,1,657,0,253,658,658,,,,,,,,,,,
Ficha_de_deportista,universidad,Infobox_Basketballspieler,college,dbo:university,dbo:college,,,dbo:Athlete,dbo:BasketballPlayer,dbo:Person,dbo:Person,dbo:EducationalInstitution,dbo:EducationalInstitution,0.0327,0.9673,0,0,672,22,650,0,0,672,672,,,,,,,,,,,
Ficha_de_militar,rango,Personendaten,GEBURTSORT,dbo:militaryRank,dbo:birthPlace,,,dbo:MilitaryPerson,dbo:Person,dbo:MilitaryPerson,dbo:Person,,dbo:Place,0.0015,0.9985,0.929,0,648,1,647,602,0,648,648,,,,,,,,,,,
